vessel_id,latitude,longitude,timestamp,speed,heading
V001,19.0800,72.8800,2026-09-14 10:00:00,12.5,90
V001,19.0850,72.8900,2026-09-14 10:10:00,12.8,92
V001,19.0900,72.9000,2026-09-14 10:20:00,13.0,95
V002,19.1000,72.8500,2026-09-14 10:00:00,8.5,180
V002,19.0950,72.8550,2026-09-14 10:10:00,8.7,182
V002,19.0900,72.8600,2026-09-14 10:20:00,8.9,185
V003,19.2000,73.1000,2026-09-14 10:00:00,15.2,270
V003,19.2100,73.0900,2026-09-14 10:10:00,15.0,268
V003,19.2200,73.0800,2026-09-14 10:20:00,14.8,265
V004,18.9500,72.7000,2026-09-14 10:00:00,10.2,45
V004,18.9600,72.7100,2026-09-14 10:10:00,10.5,47
V004,18.9700,72.7200,2026-09-14 10:20:00,10.7,50
